<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXN21;1;20190115;132100;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JXN21;1;20190115;133500;98.5000000;98.5000000;98.5000000;98.5000000;24
RU000A0JXN21;1;20190115;134300;98.5000000;98.5000000;98.5000000;98.5000000;17
RU000A0JXN21;1;20190115;135200;98.5000000;98.5000000;98.5000000;98.5000000;10
RU000A0JXN21;1;20190115;135300;98.5000000;98.5000000;98.5000000;98.5000000;9
RU000A0JXN21;1;20190115;141700;98.5000000;98.5000000;98.5000000;98.5000000;300
RU000A0JXN21;1;20190115;143700;98.5000000;98.5000000;98.5000000;98.5000000;100
RU000A0JXN21;1;20190115;150700;98.5000000;98.5000000;98.5000000;98.5000000;317
RU000A0JXN21;1;20190115;150800;98.5000000;98.5000000;98.5000000;98.5000000;1218
RU000A0JXN21;1;20190115;153700;98.4200000;98.4200000;98.4200000;98.4200000;50
RU000A0JXN21;1;20190115;164700;98.5000000;98.5000000;98.5000000;98.5000000;50
RU000A0JXN21;1;20190115;182100;98.5000000;98.5000000;98.5000000;98.5000000;14
RU000A0JXN21;1;20190115;182200;98.5000000;98.5000000;98.5000000;98.5000000;10
RU000A0JXN21;1;20190115;183800;98.5000000;98.5000000;98.5000000;98.5000000;71
RU000A0JXN21;1;20190116;101200;98.5000000;98.5000000;98.5000000;98.5000000;45
RU000A0JXN21;1;20190116;101700;98.1400000;98.1400000;98.1200000;98.1200000;80
RU000A0JXN21;1;20190116;123300;98.6400000;98.6400000;98.6400000;98.6400000;2
RU000A0JXN21;1;20190116;134100;98.5400000;98.5400000;98.5400000;98.5400000;1
RU000A0JXN21;1;20190116;140100;98.5100000;98.5100000;98.5000000;98.5000000;227
RU000A0JXN21;1;20190116;155100;98.5900000;98.5900000;98.5900000;98.5900000;3
RU000A0JXN21;1;20190116;172300;98.6000000;98.6000000;98.6000000;98.6000000;1090
RU000A0JXN21;1;20190116;172700;98.5600000;98.5600000;98.5000000;98.5000000;478
RU000A0JXN21;1;20190116;173400;98.6000000;98.6000000;98.6000000;98.6000000;1130
RU000A0JXN21;1;20190116;173500;98.6500000;98.7000000;98.6500000;98.7000000;660
RU000A0JXN21;1;20190117;103800;98.5000000;98.5000000;98.5000000;98.5000000;20
RU000A0JXN21;1;20190117;105100;98.6500000;98.6500000;98.6500000;98.6500000;1
RU000A0JXN21;1;20190117;122000;98.6500000;98.6500000;98.6500000;98.6500000;1
RU000A0JXN21;1;20190117;131100;98.5600000;98.5600000;98.5000000;98.5000000;181
RU000A0JXN21;1;20190117;145500;98.4000000;98.4000000;98.1500000;98.1500000;34
RU000A0JXN21;1;20190117;161400;98.4400000;98.4500000;98.4400000;98.4500000;9
RU000A0JXN21;1;20190117;161700;98.4500000;98.4500000;98.4500000;98.4500000;56
RU000A0JXN21;1;20190117;165500;98.4500000;98.4500000;98.4500000;98.4500000;25
RU000A0JXN21;1;20190117;174500;98.4500000;98.4500000;98.4500000;98.4500000;620
RU000A0JXN21;1;20190117;184200;98.4500000;98.4500000;98.4500000;98.4500000;7
RU000A0JXN21;1;20190118;103300;98.4500000;98.4500000;98.4500000;98.4500000;70
RU000A0JXN21;1;20190118;103800;98.4500000;98.4500000;98.4500000;98.4500000;320
RU000A0JXN21;1;20190118;112800;98.4500000;98.4500000;98.4500000;98.4500000;14
RU000A0JXN21;1;20190118;114600;98.3200000;98.3200000;98.3100000;98.3100000;10
RU000A0JXN21;1;20190118;115200;98.4400000;98.4400000;98.4400000;98.4400000;1
RU000A0JXN21;1;20190118;140200;98.4200000;98.4200000;98.4000000;98.4000000;4
RU000A0JXN21;1;20190118;143800;98.4000000;98.4500000;98.4000000;98.4500000;1235
RU000A0JXN21;1;20190118;152200;98.3900000;98.3900000;98.3900000;98.3900000;1
RU000A0JXN21;1;20190118;152900;98.4000000;98.4000000;98.4000000;98.4000000;200
RU000A0JXN21;1;20190118;153500;98.4000000;98.4000000;98.4000000;98.4000000;100
RU000A0JXN21;1;20190118;170800;98.4500000;98.4500000;98.4500000;98.4500000;103
RU000A0JXN21;1;20190118;170900;98.4500000;98.4500000;98.4500000;98.4500000;69
RU000A0JXN21;1;20190118;171300;98.4200000;98.4200000;98.4000000;98.4000000;43
RU000A0JXN21;1;20190118;171600;98.4500000;98.4500000;98.4500000;98.4500000;50
RU000A0JXN21;1;20190118;175200;98.4400000;98.4400000;98.4400000;98.4400000;1
RU000A0JXN21;1;20190118;180000;98.4400000;98.4400000;98.4400000;98.4400000;1
RU000A0JXN21;1;20190118;182300;98.4100000;98.4100000;98.4000000;98.4000000;92
RU000A0JXN21;1;20190118;183700;98.3900000;98.4000000;98.3900000;98.4000000;73
RU000A0JXN21;1;20190121;101400;98.5000000;98.5000000;98.5000000;98.5000000;300
RU000A0JXN21;1;20190121;110400;98.4100000;98.4100000;98.4000000;98.4000000;8
RU000A0JXN21;1;20190121;113200;98.3900000;98.3900000;98.3900000;98.3900000;2
RU000A0JXN21;1;20190121;130900;98.3600000;98.3600000;98.3600000;98.3600000;2
RU000A0JXN21;1;20190121;132600;98.3500000;98.3500000;98.3500000;98.3500000;1
RU000A0JXN21;1;20190121;141300;98.3500000;98.3500000;98.3500000;98.3500000;1
RU000A0JXN21;1;20190121;142700;98.3600000;98.3600000;98.3600000;98.3600000;3
RU000A0JXN21;1;20190121;142800;98.3500000;98.3500000;98.3500000;98.3500000;3
RU000A0JXN21;1;20190121;143500;98.3500000;98.3500000;98.3500000;98.3500000;30
RU000A0JXN21;1;20190121;144000;98.3500000;98.3500000;98.3500000;98.3500000;164
RU000A0JXN21;1;20190121;145900;98.3600000;98.3600000;98.3600000;98.3600000;2
RU000A0JXN21;1;20190121;150500;98.3600000;98.3600000;98.3600000;98.3600000;10
RU000A0JXN21;1;20190121;150600;98.3600000;98.3600000;98.3600000;98.3600000;20
RU000A0JXN21;1;20190121;152200;98.3500000;98.3500000;98.3500000;98.3500000;2
RU000A0JXN21;1;20190121;152300;98.3500000;98.3500000;98.3500000;98.3500000;1
RU000A0JXN21;1;20190121;152500;98.3600000;98.3600000;98.3600000;98.3600000;2
RU000A0JXN21;1;20190121;153400;98.3500000;98.3500000;98.3500000;98.3500000;2
RU000A0JXN21;1;20190121;154100;98.3600000;98.3600000;98.3600000;98.3600000;2
RU000A0JXN21;1;20190121;154200;98.3500000;98.3500000;98.3500000;98.3500000;2
RU000A0JXN21;1;20190121;155100;98.3600000;98.3600000;98.3600000;98.3600000;2
RU000A0JXN21;1;20190121;160000;98.3500000;98.3500000;98.3000000;98.3000000;69
RU000A0JXN21;1;20190121;160500;97.9200000;97.9200000;97.7900000;97.7900000;55
