<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0JXN21;0;20190115;183822;98.500000000;71
RU000A0JXN21;0;20190116;101247;98.500000000;45
RU000A0JXN21;0;20190116;101725;98.140000000;3
RU000A0JXN21;0;20190116;101725;98.130000000;50
RU000A0JXN21;0;20190116;101725;98.120000000;27
RU000A0JXN21;0;20190116;123311;98.640000000;2
RU000A0JXN21;0;20190116;134141;98.540000000;1
RU000A0JXN21;0;20190116;140101;98.510000000;3
RU000A0JXN21;0;20190116;140129;98.500000000;224
RU000A0JXN21;0;20190116;155144;98.590000000;3
RU000A0JXN21;0;20190116;172306;98.600000000;1090
RU000A0JXN21;0;20190116;172759;98.560000000;12
RU000A0JXN21;0;20190116;172759;98.510000000;10
RU000A0JXN21;0;20190116;172759;98.500000000;456
RU000A0JXN21;0;20190116;173446;98.600000000;1110
RU000A0JXN21;0;20190116;173446;98.600000000;20
RU000A0JXN21;0;20190116;173549;98.650000000;10
RU000A0JXN21;0;20190116;173549;98.690000000;590
RU000A0JXN21;0;20190116;173549;98.700000000;60
RU000A0JXN21;0;20190117;103801;98.500000000;20
RU000A0JXN21;0;20190117;105110;98.650000000;1
RU000A0JXN21;0;20190117;122030;98.650000000;1
RU000A0JXN21;0;20190117;131145;98.560000000;2
RU000A0JXN21;0;20190117;131145;98.550000000;5
RU000A0JXN21;0;20190117;131145;98.510000000;10
RU000A0JXN21;0;20190117;131145;98.500000000;130
RU000A0JXN21;0;20190117;131145;98.500000000;33
RU000A0JXN21;0;20190117;131146;98.500000000;1
RU000A0JXN21;0;20190117;145513;98.400000000;1
RU000A0JXN21;0;20190117;145513;98.200000000;5
RU000A0JXN21;0;20190117;145513;98.150000000;28
RU000A0JXN21;0;20190117;161408;98.440000000;3
RU000A0JXN21;0;20190117;161408;98.450000000;6
RU000A0JXN21;0;20190117;161715;98.450000000;51
RU000A0JXN21;0;20190117;161752;98.450000000;5
RU000A0JXN21;0;20190117;165521;98.450000000;25
RU000A0JXN21;0;20190117;174549;98.450000000;620
RU000A0JXN21;0;20190117;184229;98.450000000;7
RU000A0JXN21;0;20190118;103334;98.450000000;70
RU000A0JXN21;0;20190118;103810;98.450000000;320
RU000A0JXN21;0;20190118;112816;98.450000000;14
RU000A0JXN21;0;20190118;114619;98.320000000;1
RU000A0JXN21;0;20190118;114619;98.310000000;9
RU000A0JXN21;0;20190118;115210;98.440000000;1
RU000A0JXN21;0;20190118;140245;98.420000000;1
RU000A0JXN21;0;20190118;140245;98.410000000;1
RU000A0JXN21;0;20190118;140246;98.400000000;2
RU000A0JXN21;0;20190118;143814;98.400000000;182
RU000A0JXN21;0;20190118;143814;98.450000000;1053
RU000A0JXN21;0;20190118;152259;98.390000000;1
RU000A0JXN21;0;20190118;152937;98.400000000;200
RU000A0JXN21;0;20190118;153555;98.400000000;100
RU000A0JXN21;0;20190118;170830;98.450000000;103
RU000A0JXN21;0;20190118;170910;98.450000000;69
RU000A0JXN21;0;20190118;171314;98.420000000;3
RU000A0JXN21;0;20190118;171314;98.410000000;30
RU000A0JXN21;0;20190118;171314;98.400000000;10
RU000A0JXN21;0;20190118;171624;98.450000000;50
RU000A0JXN21;0;20190118;175254;98.440000000;1
RU000A0JXN21;0;20190118;180050;98.440000000;1
RU000A0JXN21;0;20190118;182357;98.410000000;2
RU000A0JXN21;0;20190118;182357;98.400000000;90
RU000A0JXN21;0;20190118;183714;98.390000000;3
RU000A0JXN21;0;20190118;183714;98.400000000;70
RU000A0JXN21;0;20190121;101443;98.500000000;300
RU000A0JXN21;0;20190121;110445;98.410000000;2
RU000A0JXN21;0;20190121;110445;98.400000000;1
RU000A0JXN21;0;20190121;110445;98.400000000;5
RU000A0JXN21;0;20190121;113236;98.390000000;2
