<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A101H43;0;20200303;153129;100.190000000;24
RU000A101H43;0;20200303;153149;100.190000000;27
RU000A101H43;0;20200303;153257;100.190000000;1
RU000A101H43;0;20200303;153258;100.190000000;1
RU000A101H43;0;20200303;153322;100.190000000;2
RU000A101H43;0;20200303;153432;100.190000000;10
RU000A101H43;0;20200303;153435;100.190000000;42
RU000A101H43;0;20200303;153437;100.190000000;19
RU000A101H43;0;20200303;153438;100.180000000;1
RU000A101H43;0;20200303;153501;100.190000000;1
RU000A101H43;0;20200303;153510;100.190000000;5
RU000A101H43;0;20200303;153548;100.190000000;1
RU000A101H43;0;20200303;153627;100.180000000;1
RU000A101H43;0;20200303;153652;100.190000000;3
RU000A101H43;0;20200303;153702;100.190000000;30
RU000A101H43;0;20200303;153850;100.190000000;41
RU000A101H43;0;20200303;153918;100.190000000;13
RU000A101H43;0;20200303;154246;100.190000000;15
RU000A101H43;0;20200303;154336;100.190000000;20
RU000A101H43;0;20200303;154336;100.190000000;2
RU000A101H43;0;20200303;154346;100.180000000;3
RU000A101H43;0;20200303;154416;100.190000000;10
RU000A101H43;0;20200303;154517;100.180000000;1
RU000A101H43;0;20200303;154648;100.180000000;6
RU000A101H43;0;20200303;154708;100.190000000;50
RU000A101H43;0;20200303;154714;100.190000000;19
RU000A101H43;0;20200303;154740;100.190000000;1
RU000A101H43;0;20200303;154820;100.190000000;1
RU000A101H43;0;20200303;154852;100.190000000;319
RU000A101H43;0;20200303;154923;100.190000000;1425
RU000A101H43;0;20200303;155012;100.200000000;1
RU000A101H43;0;20200303;155039;100.190000000;1
RU000A101H43;0;20200303;155052;100.190000000;5
RU000A101H43;0;20200303;155141;100.190000000;50
RU000A101H43;0;20200303;155151;100.190000000;605
RU000A101H43;0;20200303;155237;100.190000000;1
RU000A101H43;0;20200303;155252;100.190000000;4
RU000A101H43;0;20200303;155353;100.180000000;50
RU000A101H43;0;20200303;155353;100.190000000;950
RU000A101H43;0;20200303;155402;100.150000000;10
RU000A101H43;0;20200303;155402;100.150000000;10
RU000A101H43;0;20200303;155449;100.190000000;11
RU000A101H43;0;20200303;155548;100.190000000;10
RU000A101H43;0;20200303;155612;100.190000000;30
RU000A101H43;0;20200303;155651;100.190000000;18
RU000A101H43;0;20200303;155723;100.190000000;4
RU000A101H43;0;20200303;155850;100.190000000;1
RU000A101H43;0;20200303;155920;100.190000000;18
RU000A101H43;0;20200303;155920;100.190000000;1
RU000A101H43;0;20200303;155931;100.190000000;1
RU000A101H43;0;20200303;160003;100.190000000;25
RU000A101H43;0;20200303;160057;100.190000000;1
RU000A101H43;0;20200303;160122;100.190000000;21
RU000A101H43;0;20200303;160348;100.150000000;5
RU000A101H43;0;20200303;160351;100.190000000;3
RU000A101H43;0;20200303;160359;100.150000000;2
RU000A101H43;0;20200303;160410;100.190000000;20
RU000A101H43;0;20200303;160435;100.190000000;7
RU000A101H43;0;20200303;160708;100.190000000;5
RU000A101H43;0;20200303;160736;100.190000000;3
RU000A101H43;0;20200303;160838;100.190000000;250
RU000A101H43;0;20200303;160920;100.180000000;1
RU000A101H43;0;20200303;160928;100.190000000;250
RU000A101H43;0;20200303;160935;100.190000000;1
RU000A101H43;0;20200303;161003;100.190000000;50
RU000A101H43;0;20200303;161014;100.190000000;150
RU000A101H43;0;20200303;161142;100.190000000;100
RU000A101H43;0;20200303;161247;100.190000000;20
RU000A101H43;0;20200303;161256;100.190000000;129
RU000A101H43;0;20200303;161349;100.190000000;97
RU000A101H43;0;20200303;161354;100.190000000;10
RU000A101H43;0;20200303;161544;100.180000000;15
RU000A101H43;0;20200303;161632;100.180000000;10
RU000A101H43;0;20200303;161632;100.180000000;40
RU000A101H43;0;20200303;161840;100.180000000;10
RU000A101H43;0;20200303;162018;100.180000000;50
RU000A101H43;0;20200303;162324;100.170000000;5
RU000A101H43;0;20200303;162505;100.170000000;5
RU000A101H43;0;20200303;162505;100.170000000;45
RU000A101H43;0;20200303;162704;100.170000000;2
RU000A101H43;0;20200303;162738;100.170000000;3
RU000A101H43;0;20200303;162738;100.170000000;2
RU000A101H43;0;20200303;162803;100.180000000;5
RU000A101H43;0;20200303;163146;100.180000000;250
RU000A101H43;0;20200303;163345;100.180000000;5
RU000A101H43;0;20200303;163530;100.180000000;30
RU000A101H43;0;20200303;163728;100.170000000;15
RU000A101H43;0;20200303;163806;100.180000000;10
RU000A101H43;0;20200303;163912;100.180000000;2
