<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A100JH0;0;20190709;171831;101.950000000;500
RU000A100JH0;0;20190709;172548;101.950000000;300
RU000A100JH0;0;20190709;172703;101.950000000;300
RU000A100JH0;0;20190709;172817;101.950000000;1500
RU000A100JH0;0;20190709;172825;101.950000000;240
RU000A100JH0;0;20190709;172825;101.950000000;1640
RU000A100JH0;0;20190709;172825;101.950000000;180
RU000A100JH0;0;20190709;172825;101.950000000;80
RU000A100JH0;0;20190709;172825;101.950000000;300
RU000A100JH0;0;20190709;172825;101.950000000;320
RU000A100JH0;0;20190709;172825;101.950000000;60
RU000A100JH0;0;20190709;172825;101.950000000;180
RU000A100JH0;0;20190709;172832;101.950000000;700
RU000A100JH0;0;20190709;172832;101.950000000;120
RU000A100JH0;0;20190709;172832;101.950000000;260
RU000A100JH0;0;20190709;172834;101.950000000;10
RU000A100JH0;0;20190709;172842;101.950000000;340
RU000A100JH0;0;20190709;172846;101.950000000;1892
RU000A100JH0;0;20190709;172846;102.000000000;2420
RU000A100JH0;0;20190709;173409;102.480000000;20
RU000A100JH0;0;20190709;173409;102.480000000;30
RU000A100JH0;0;20190709;174856;102.480000000;30
RU000A100JH0;0;20190709;175253;102.400000000;5
RU000A100JH0;0;20190709;175253;102.030000000;20
RU000A100JH0;0;20190709;175253;102.030000000;472
RU000A100JH0;0;20190709;175253;102.020000000;3
RU000A100JH0;0;20190709;175547;102.480000000;25
RU000A100JH0;0;20190709;175914;102.470000000;20
RU000A100JH0;0;20190709;180928;102.470000000;10
RU000A100JH0;0;20190709;181001;102.470000000;20
RU000A100JH0;0;20190709;181001;102.480000000;15
RU000A100JH0;0;20190709;181001;102.490000000;101
RU000A100JH0;0;20190709;181001;102.740000000;184
RU000A100JH0;0;20190709;182152;102.740000000;13
RU000A100JH0;0;20190709;182307;102.740000000;1
RU000A100JH0;0;20190709;182324;102.600000000;100
RU000A100JH0;0;20190709;182432;102.600000000;10
RU000A100JH0;0;20190709;182758;102.600000000;70
RU000A100JH0;0;20190709;182842;102.600000000;31
RU000A100JH0;0;20190709;182906;102.600000000;1
RU000A100JH0;0;20190709;182952;102.600000000;4
RU000A100JH0;0;20190709;182958;102.540000000;1
RU000A100JH0;0;20190709;183016;102.500000000;18
RU000A100JH0;0;20190709;183532;102.300000000;10
RU000A100JH0;0;20190709;183532;102.100000000;5
RU000A100JH0;0;20190709;183538;102.100000000;46
RU000A100JH0;0;20190709;183541;102.100000000;106
RU000A100JH0;0;20190709;183928;102.500000000;1
RU000A100JH0;0;20190709;183928;102.100000000;50
RU000A100JH0;0;20190709;183928;102.090000000;5
RU000A100JH0;0;20190709;183928;102.080000000;5
RU000A100JH0;0;20190709;183928;102.070000000;5
RU000A100JH0;0;20190709;183928;102.040000000;1
RU000A100JH0;0;20190709;183928;102.040000000;100
RU000A100JH0;0;20190709;183928;102.030000000;100
RU000A100JH0;0;20190709;183928;102.030000000;6
RU000A100JH0;0;20190709;183928;102.020000000;12
RU000A100JH0;0;20190709;183928;102.020000000;10
RU000A100JH0;0;20190709;183928;102.020000000;5
RU000A100JH0;0;20190709;184016;102.590000000;25
RU000A100JH0;0;20190709;184017;102.590000000;50
RU000A100JH0;0;20190709;184220;102.590000000;75
RU000A100JH0;0;20190709;184220;102.600000000;22
RU000A100JH0;0;20190710;100159;104.000000000;10
RU000A100JH0;0;20190710;100239;102.600000000;400
RU000A100JH0;0;20190710;100243;102.600000000;1
RU000A100JH0;0;20190710;100539;103.000000000;1000
RU000A100JH0;0;20190710;101247;103.800000000;500
RU000A100JH0;0;20190710;101653;103.700000000;40
RU000A100JH0;0;20190710;102340;103.490000000;50
RU000A100JH0;0;20190710;102657;103.490000000;50
RU000A100JH0;0;20190710;102700;103.490000000;50
RU000A100JH0;0;20190710;103010;103.500000000;200
RU000A100JH0;0;20190710;103031;103.490000000;1
RU000A100JH0;0;20190710;103148;103.490000000;49
RU000A100JH0;0;20190710;103150;103.490000000;60
RU000A100JH0;0;20190710;104258;103.400000000;91
RU000A100JH0;0;20190710;104756;103.400000000;50
