<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A101H43;1;20200303;152400;100.1800000;100.1800000;100.1800000;100.1800000;53
RU000A101H43;1;20200303;152600;100.1700000;100.1800000;100.1700000;100.1800000;51
RU000A101H43;1;20200303;152700;100.1900000;100.1900000;100.1800000;100.1800000;38
RU000A101H43;1;20200303;152800;100.1900000;100.1900000;100.1900000;100.1900000;2
RU000A101H43;1;20200303;152900;100.1900000;100.1900000;100.1900000;100.1900000;24
RU000A101H43;1;20200303;153000;100.1900000;100.1900000;100.1900000;100.1900000;100
RU000A101H43;1;20200303;153100;100.1900000;100.1900000;100.1900000;100.1900000;74
RU000A101H43;1;20200303;153200;100.1900000;100.1900000;100.1900000;100.1900000;2
RU000A101H43;1;20200303;153300;100.1900000;100.1900000;100.1900000;100.1900000;2
RU000A101H43;1;20200303;153400;100.1900000;100.1900000;100.1800000;100.1800000;72
RU000A101H43;1;20200303;153500;100.1900000;100.1900000;100.1900000;100.1900000;7
RU000A101H43;1;20200303;153600;100.1800000;100.1900000;100.1800000;100.1900000;4
RU000A101H43;1;20200303;153700;100.1900000;100.1900000;100.1900000;100.1900000;30
RU000A101H43;1;20200303;153800;100.1900000;100.1900000;100.1900000;100.1900000;41
RU000A101H43;1;20200303;153900;100.1900000;100.1900000;100.1900000;100.1900000;13
RU000A101H43;1;20200303;154200;100.1900000;100.1900000;100.1900000;100.1900000;15
RU000A101H43;1;20200303;154300;100.1900000;100.1900000;100.1800000;100.1800000;25
RU000A101H43;1;20200303;154400;100.1900000;100.1900000;100.1900000;100.1900000;10
RU000A101H43;1;20200303;154500;100.1800000;100.1800000;100.1800000;100.1800000;1
RU000A101H43;1;20200303;154600;100.1800000;100.1800000;100.1800000;100.1800000;6
RU000A101H43;1;20200303;154700;100.1900000;100.1900000;100.1900000;100.1900000;70
RU000A101H43;1;20200303;154800;100.1900000;100.1900000;100.1900000;100.1900000;320
RU000A101H43;1;20200303;154900;100.1900000;100.1900000;100.1900000;100.1900000;1425
RU000A101H43;1;20200303;155000;100.2000000;100.2000000;100.1900000;100.1900000;7
RU000A101H43;1;20200303;155100;100.1900000;100.1900000;100.1900000;100.1900000;655
RU000A101H43;1;20200303;155200;100.1900000;100.1900000;100.1900000;100.1900000;5
RU000A101H43;1;20200303;155300;100.1800000;100.1900000;100.1800000;100.1900000;1000
RU000A101H43;1;20200303;155400;100.1500000;100.1900000;100.1500000;100.1900000;31
RU000A101H43;1;20200303;155500;100.1900000;100.1900000;100.1900000;100.1900000;10
RU000A101H43;1;20200303;155600;100.1900000;100.1900000;100.1900000;100.1900000;48
RU000A101H43;1;20200303;155700;100.1900000;100.1900000;100.1900000;100.1900000;4
RU000A101H43;1;20200303;155800;100.1900000;100.1900000;100.1900000;100.1900000;1
RU000A101H43;1;20200303;155900;100.1900000;100.1900000;100.1900000;100.1900000;20
RU000A101H43;1;20200303;160000;100.1900000;100.1900000;100.1900000;100.1900000;26
RU000A101H43;1;20200303;160100;100.1900000;100.1900000;100.1900000;100.1900000;21
RU000A101H43;1;20200303;160300;100.1500000;100.1900000;100.1500000;100.1500000;10
RU000A101H43;1;20200303;160400;100.1900000;100.1900000;100.1900000;100.1900000;27
RU000A101H43;1;20200303;160700;100.1900000;100.1900000;100.1900000;100.1900000;8
RU000A101H43;1;20200303;160800;100.1900000;100.1900000;100.1900000;100.1900000;250
RU000A101H43;1;20200303;160900;100.1800000;100.1900000;100.1800000;100.1900000;252
RU000A101H43;1;20200303;161000;100.1900000;100.1900000;100.1900000;100.1900000;200
RU000A101H43;1;20200303;161100;100.1900000;100.1900000;100.1900000;100.1900000;100
RU000A101H43;1;20200303;161200;100.1900000;100.1900000;100.1900000;100.1900000;149
RU000A101H43;1;20200303;161300;100.1900000;100.1900000;100.1900000;100.1900000;107
RU000A101H43;1;20200303;161500;100.1800000;100.1800000;100.1800000;100.1800000;15
RU000A101H43;1;20200303;161600;100.1800000;100.1800000;100.1800000;100.1800000;50
RU000A101H43;1;20200303;161800;100.1800000;100.1800000;100.1800000;100.1800000;10
RU000A101H43;1;20200303;162000;100.1800000;100.1800000;100.1800000;100.1800000;50
RU000A101H43;1;20200303;162300;100.1700000;100.1700000;100.1700000;100.1700000;5
RU000A101H43;1;20200303;162500;100.1700000;100.1700000;100.1700000;100.1700000;50
RU000A101H43;1;20200303;162700;100.1700000;100.1700000;100.1700000;100.1700000;7
RU000A101H43;1;20200303;162800;100.1800000;100.1800000;100.1800000;100.1800000;5
