<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0ZZFH2;0;20190110;101558;101.600000000;67
RU000A0ZZFH2;0;20190110;102921;101.600000000;80
RU000A0ZZFH2;0;20190110;110007;101.600000000;50
RU000A0ZZFH2;0;20190110;120158;101.590000000;28
RU000A0ZZFH2;0;20190110;120158;101.590000000;50
RU000A0ZZFH2;0;20190110;120158;101.600000000;22
RU000A0ZZFH2;0;20190110;123110;101.600000000;22
RU000A0ZZFH2;0;20190110;131038;101.600000000;4
RU000A0ZZFH2;0;20190110;131931;101.110000000;3
RU000A0ZZFH2;0;20190110;131931;101.110000000;1
RU000A0ZZFH2;0;20190110;133009;101.590000000;3
RU000A0ZZFH2;0;20190110;133009;101.600000000;18
RU000A0ZZFH2;0;20190110;141024;101.600000000;5
RU000A0ZZFH2;0;20190110;160705;101.600000000;141
RU000A0ZZFH2;0;20190110;161907;101.590000000;1
RU000A0ZZFH2;0;20190110;161907;101.600000000;85
RU000A0ZZFH2;0;20190110;170559;101.600000000;20
RU000A0ZZFH2;0;20190110;172859;101.550000000;70
RU000A0ZZFH2;0;20190110;172900;101.550000000;70
RU000A0ZZFH2;0;20190111;100640;101.650000000;5
RU000A0ZZFH2;0;20190111;111127;101.540000000;1
RU000A0ZZFH2;0;20190111;111127;101.550000000;149
RU000A0ZZFH2;0;20190111;113530;101.550000000;10
RU000A0ZZFH2;0;20190111;122322;101.500000000;4
RU000A0ZZFH2;0;20190111;130208;101.360000000;3
RU000A0ZZFH2;0;20190111;130548;101.350000000;50
RU000A0ZZFH2;0;20190111;130548;101.330000000;18
RU000A0ZZFH2;0;20190111;130548;101.330000000;122
RU000A0ZZFH2;0;20190111;130548;101.330000000;1
RU000A0ZZFH2;0;20190111;130548;101.330000000;1
RU000A0ZZFH2;0;20190111;130548;101.330000000;1
RU000A0ZZFH2;0;20190111;130548;101.330000000;37
RU000A0ZZFH2;0;20190111;130548;101.330000000;37
RU000A0ZZFH2;0;20190111;130548;101.330000000;28
RU000A0ZZFH2;0;20190111;130548;101.330000000;37
RU000A0ZZFH2;0;20190111;130548;101.330000000;37
RU000A0ZZFH2;0;20190111;130548;101.330000000;37
RU000A0ZZFH2;0;20190111;130548;101.330000000;75
RU000A0ZZFH2;0;20190111;130548;101.330000000;19
RU000A0ZZFH2;0;20190111;134812;101.360000000;7
RU000A0ZZFH2;0;20190111;134812;101.500000000;45
RU000A0ZZFH2;0;20190111;134812;101.550000000;151
RU000A0ZZFH2;0;20190111;134812;101.550000000;97
