<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0ZZFH2;1;20190109;141800;101.4800000;101.4900000;101.4800000;101.4900000;20
RU000A0ZZFH2;1;20190109;144200;101.4900000;101.4900000;101.4900000;101.4900000;5
RU000A0ZZFH2;1;20190109;145700;101.4900000;101.4900000;101.4900000;101.4900000;9
RU000A0ZZFH2;1;20190109;155600;101.4900000;101.4900000;101.4900000;101.4900000;80
RU000A0ZZFH2;1;20190109;171300;101.1200000;101.1200000;101.1200000;101.1200000;3
RU000A0ZZFH2;1;20190109;171400;101.1100000;101.1100000;101.1100000;101.1100000;112
RU000A0ZZFH2;1;20190109;175500;101.4800000;101.4900000;101.4800000;101.4900000;100
RU000A0ZZFH2;1;20190109;180500;101.4900000;101.4900000;101.4900000;101.4900000;10
RU000A0ZZFH2;1;20190110;101500;101.6000000;101.6000000;101.6000000;101.6000000;67
RU000A0ZZFH2;1;20190110;102900;101.6000000;101.6000000;101.6000000;101.6000000;80
RU000A0ZZFH2;1;20190110;110000;101.6000000;101.6000000;101.6000000;101.6000000;50
RU000A0ZZFH2;1;20190110;120100;101.5900000;101.6000000;101.5900000;101.6000000;100
RU000A0ZZFH2;1;20190110;123100;101.6000000;101.6000000;101.6000000;101.6000000;22
RU000A0ZZFH2;1;20190110;131000;101.6000000;101.6000000;101.6000000;101.6000000;4
RU000A0ZZFH2;1;20190110;131900;101.1100000;101.1100000;101.1100000;101.1100000;4
RU000A0ZZFH2;1;20190110;133000;101.5900000;101.6000000;101.5900000;101.6000000;21
RU000A0ZZFH2;1;20190110;141000;101.6000000;101.6000000;101.6000000;101.6000000;5
RU000A0ZZFH2;1;20190110;160700;101.6000000;101.6000000;101.6000000;101.6000000;141
RU000A0ZZFH2;1;20190110;161900;101.5900000;101.6000000;101.5900000;101.6000000;86
RU000A0ZZFH2;1;20190110;170500;101.6000000;101.6000000;101.6000000;101.6000000;20
RU000A0ZZFH2;1;20190110;172800;101.5500000;101.5500000;101.5500000;101.5500000;70
RU000A0ZZFH2;1;20190110;172900;101.5500000;101.5500000;101.5500000;101.5500000;70
RU000A0ZZFH2;1;20190111;100600;101.6500000;101.6500000;101.6500000;101.6500000;5
RU000A0ZZFH2;1;20190111;111100;101.5400000;101.5500000;101.5400000;101.5500000;150
RU000A0ZZFH2;1;20190111;113500;101.5500000;101.5500000;101.5500000;101.5500000;10
RU000A0ZZFH2;1;20190111;122300;101.5000000;101.5000000;101.5000000;101.5000000;4
RU000A0ZZFH2;1;20190111;130200;101.3600000;101.3600000;101.3600000;101.3600000;3
RU000A0ZZFH2;1;20190111;130500;101.3500000;101.3500000;101.3300000;101.3300000;500
RU000A0ZZFH2;1;20190111;134800;101.3600000;101.5500000;101.3600000;101.5500000;300
RU000A0ZZFH2;1;20190111;141000;101.5400000;101.5500000;101.5400000;101.5500000;10
RU000A0ZZFH2;1;20190111;141500;101.5500000;101.5500000;101.5500000;101.5500000;5
RU000A0ZZFH2;1;20190111;162900;101.5500000;101.5500000;101.5500000;101.5500000;48
RU000A0ZZFH2;1;20190111;163500;101.5500000;101.5500000;101.5500000;101.5500000;54
RU000A0ZZFH2;1;20190111;172500;101.5500000;101.5900000;101.5500000;101.5800000;87
RU000A0ZZFH2;1;20190111;174000;101.5800000;101.6000000;101.5800000;101.6000000;2130
RU000A0ZZFH2;1;20190111;183300;101.6000000;101.6000000;101.6000000;101.6000000;50
RU000A0ZZFH2;1;20190114;100700;101.6000000;101.6000000;101.6000000;101.6000000;10
RU000A0ZZFH2;1;20190114;101100;101.6000000;101.6000000;101.6000000;101.6000000;10
RU000A0ZZFH2;1;20190114;105700;101.6000000;101.6000000;101.6000000;101.6000000;20
RU000A0ZZFH2;1;20190114;105800;101.6000000;101.6000000;101.6000000;101.6000000;10
RU000A0ZZFH2;1;20190114;110200;101.6000000;101.6000000;101.6000000;101.6000000;330
RU000A0ZZFH2;1;20190114;111800;101.6000000;101.6000000;101.6000000;101.6000000;2831
RU000A0ZZFH2;1;20190114;112200;101.6000000;101.6000000;101.6000000;101.6000000;46
