<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0JXQ93;0;20190108;131347;104.350000000;2
RU000A0JXQ93;0;20190108;132624;104.350000000;10
RU000A0JXQ93;0;20190108;132855;104.350000000;12
RU000A0JXQ93;0;20190108;133754;104.340000000;1
RU000A0JXQ93;0;20190108;134357;104.340000000;2
RU000A0JXQ93;0;20190108;134619;104.340000000;12
RU000A0JXQ93;0;20190108;134912;104.340000000;7
RU000A0JXQ93;0;20190108;134912;104.000000000;20
RU000A0JXQ93;0;20190108;135915;104.350000000;1
RU000A0JXQ93;0;20190108;140452;104.350000000;1
RU000A0JXQ93;0;20190108;143012;104.350000000;28
RU000A0JXQ93;0;20190108;143357;104.350000000;9
RU000A0JXQ93;0;20190108;143750;104.350000000;1
RU000A0JXQ93;0;20190108;144240;104.350000000;20
RU000A0JXQ93;0;20190108;144740;104.350000000;50
RU000A0JXQ93;0;20190108;151001;104.350000000;50
RU000A0JXQ93;0;20190108;152134;104.350000000;17
RU000A0JXQ93;0;20190108;152534;103.540000000;30
RU000A0JXQ93;0;20190108;160114;104.340000000;5
RU000A0JXQ93;0;20190108;160424;104.340000000;7
RU000A0JXQ93;0;20190108;162421;103.620000000;1
RU000A0JXQ93;0;20190108;162421;103.620000000;22
RU000A0JXQ93;0;20190108;170059;104.340000000;18
RU000A0JXQ93;0;20190108;170316;104.340000000;1
RU000A0JXQ93;0;20190108;170934;104.350000000;1
RU000A0JXQ93;0;20190108;171531;104.350000000;1
RU000A0JXQ93;0;20190109;104119;104.500000000;30
RU000A0JXQ93;0;20190109;104308;104.540000000;5
RU000A0JXQ93;0;20190109;110213;103.710000000;42
RU000A0JXQ93;0;20190109;110213;103.700000000;78
RU000A0JXQ93;0;20190109;110213;103.610000000;50
RU000A0JXQ93;0;20190109;110213;103.600000000;80
RU000A0JXQ93;0;20190109;110213;103.560000000;50
RU000A0JXQ93;0;20190109;110213;103.550000000;19
RU000A0JXQ93;0;20190109;110313;104.490000000;42
RU000A0JXQ93;0;20190109;110313;104.500000000;3
RU000A0JXQ93;0;20190109;110313;104.530000000;3
RU000A0JXQ93;0;20190109;110313;104.530000000;7
